name                                   time/op
IncresingTextSize/dsl_10-4             2.35µs ± 5%
IncresingTextSize/dsl_regex_10-4       2.71µs ± 8%
IncresingTextSize/dsl_inord_10-4       2.34µs ± 4%
IncresingTextSize/regex_10-4           1.81µs ± 4%
IncresingTextSize/dsl_20-4             3.45µs ± 9%
IncresingTextSize/dsl_regex_20-4       3.92µs ± 3%
IncresingTextSize/dsl_inord_20-4       3.39µs ±13%
IncresingTextSize/regex_20-4           2.86µs ± 9%
IncresingTextSize/dsl_30-4             4.61µs ± 7%
IncresingTextSize/dsl_regex_30-4       6.48µs ±18%
IncresingTextSize/dsl_inord_30-4       5.00µs ±11%
IncresingTextSize/regex_30-4           4.52µs ± 7%
IncresingTextSize/dsl_40-4             6.27µs ± 7%
IncresingTextSize/dsl_regex_40-4       8.14µs ± 9%
IncresingTextSize/dsl_inord_40-4       6.19µs ±10%
IncresingTextSize/regex_40-4           5.50µs ±14%
IncresingTextSize/dsl_50-4             5.68µs ± 2%
IncresingTextSize/dsl_regex_50-4       7.36µs ± 1%
IncresingTextSize/dsl_inord_50-4       5.66µs ± 1%
IncresingTextSize/regex_50-4           5.53µs ± 1%
IncresingTextSize/dsl_60-4             6.87µs ± 1%
IncresingTextSize/dsl_regex_60-4       12.1µs ± 1%
IncresingTextSize/dsl_inord_60-4       7.03µs ± 2%
IncresingTextSize/regex_60-4           10.0µs ± 3%
IncresingTextSize/dsl_70-4             7.53µs ± 0%
IncresingTextSize/dsl_regex_70-4       10.2µs ± 1%
IncresingTextSize/dsl_inord_70-4       7.57µs ± 2%
IncresingTextSize/regex_70-4           7.85µs ± 1%
IncresingTextSize/dsl_80-4             8.72µs ± 1%
IncresingTextSize/dsl_regex_80-4       13.8µs ± 1%
IncresingTextSize/dsl_inord_80-4       8.80µs ± 2%
IncresingTextSize/regex_80-4           11.3µs ± 1%
IncresingTextSize/dsl_90-4             9.66µs ± 0%
IncresingTextSize/dsl_regex_90-4       13.2µs ± 1%
IncresingTextSize/dsl_inord_90-4       9.82µs ± 1%
IncresingTextSize/regex_90-4           10.2µs ± 1%
IncresingTextSize/dsl_100-4            9.91µs ± 1%
